iter	Passed	Remaining
446	1145	1417
447	1147	1413
448	1151	1412
449	1152	1408
450	1153	1404
451	1154	1400
452	1156	1396
453	1157	1391
454	1158	1387
455	1160	1383
456	1161	1379
457	1162	1375
458	1167	1375
459	1168	1371
460	1169	1367
461	1187	1382
462	1188	1378
463	1190	1375
464	1191	1371
465	1193	1367
466	1201	1371
467	1203	1367
468	1204	1363
469	1205	1359
470	1206	1355
471	1208	1351
472	1209	1347
473	1212	1345
474	1214	1342
475	1215	1338
476	1217	1334
477	1218	1330
478	1219	1326
479	1220	1322
480	1222	1318
481	1223	1314
482	1224	1310
483	1228	1309
484	1229	1305
485	1230	1301
486	1231	1297
487	1233	1293
488	1234	1290
489	1235	1286
490	1236	1282
491	1238	1278
492	1239	1274
493	1245	1275
494	1246	1272
495	1248	1268
496	1249	1264
497	1250	1260
498	1251	1256
499	1253	1253
500	1254	1249
501	1255	1245
502	1260	1245
503	1261	1241
504	1263	1238
505	1264	1234
506	1265	1230
507	1267	1227
508	1269	1224
509	1270	1221
510	1274	1219
511	1276	1217
512	1278	1213
513	1279	1209
514	1280	1206
515	1285	1205
516	1286	1201
517	1287	1198
518	1289	1194
519	1290	1191
520	1292	1188
521	1293	1184
522	1294	1180
523	1295	1177
524	1300	1176
525	1302	1173
526	1303	1169
527	1304	1166
528	1305	1162
529	1306	1158
530	1307	1155
531	1309	1151
532	1310	1148
533	1311	1144
534	1323	1150
535	1325	1147
536	1326	1143
537	1330	1142
538	1332	1139
539	1333	1136
540	1334	1132
541	1336	1128
542	1337	1125
543	1338	1121
544	1339	1118
545	1340	1114
546	1342	1111
547	1345	1109
548	1348	1107
549	1349	1103
550	1350	1100
551	1351	1096
552	1352	1093
553	1354	1090
554	1355	1086
555	1356	1083
556	1357	1079
557	1364	1080
558	1365	1077
559	1367	1074
560	1368	1070
561	1369	1067
562	1370	1064
563	1372	1060
564	1373	1057
565	1377	1055
566	1378	1052
567	1379	1049
568	1381	1046
569	1382	1042
570	1383	1039
571	1384	1036
572	1385	1032
573	1387	1029
574	1393	1029
575	1394	1026
576	1395	1023
577	1396	1019
578	1407	1023
579	1409	1021
580	1411	1017
581	1412	1014
582	1414	1011
583	1415	1008
584	1417	1005
585	1418	1002
586	1422	1000
587	1425	998
588	1426	995
589	1427	992
590	1428	988
591	1430	985
592	1431	982
593	1433	979
594	1434	976
595	1437	974
596	1440	972
597	1441	969
598	1443	966
599	1444	962
600	1445	959
601	1446	956
602	1447	953
603	1448	949
604	1476	964
605	1478	961
606	1479	958
607	1481	954
608	1482	951
609	1489	952
610	1491	949
611	1492	946
612	1493	943
613	1495	940
614	1496	936
615	1500	935
616	1503	933
617	1504	930
618	1506	926
619	1507	923
620	1508	920
621	1509	917
622	1510	914
623	1537	926
624	1539	923
625	1551	926
626	1552	923
627	1553	920
628	1555	917
629	1557	914
630	1564	915
631	1567	912
632	1568	909
633	1570	906
634	1571	903
635	1572	899
636	1573	896
637	1576	894
638	1580	892
639	1583	890
640	1584	887
641	1585	884
642	1587	881
643	1588	878
644	1619	891
645	1620	888
646	1621	884
647	1623	881
648	1624	878
649	1628	877
650	1631	874
651	1632	871
652	1633	868
653	1635	865
654	1636	861
655	1637	858
656	1638	855
657	1642	853
658	1644	851
659	1645	847
660	1648	845
661	1649	842
662	1650	839
663	1652	836
664	1679	845
665	1680	842
666	1681	839
667	1683	836
668	1684	833
669	1686	830
670	1687	827
671	1689	824
672	1691	821
673	1693	819
674	1694	815
675	1696	813
676	1698	810
677	1700	807
678	1703	805
679	1704	802
680	1705	799
681	1706	795
682	1727	801
683	1732	800
684	1734	797
685	1736	794
686	1737	791
687	1738	788
688	1739	785
689	1741	782
690	1742	779
691	1748	778
692	1749	775
693	1750	771
694	1752	768
695	1753	765
696	1754	762
697	1755	759
698	1757	756
699	1764	756
700	1765	753
701	1766	749
702	1767	746
703	1769	743
704	1770	740
705	1771	737
706	1772	734
707	1787	737
708	1789	734
709	1791	731
710	1793	728
711	1794	725
712	1795	722
713	1796	719
714	1799	717
715	1800	714
716	1801	711
717	1802	708
718	1804	705
719	1808	703
720	1810	700
721	1811	697
722	1812	694
723	1813	691
724	1814	688
725	1816	685
726	1817	682
727	1818	679
728	1819	676
729	1821	673
730	1823	670
731	1824	667
732	1825	664
733	1826	661
734	1827	659
735	1829	656
736	1831	653
737	1832	650
738	1834	647
739	1838	646
740	1840	643
741	1864	648
742	1865	645
743	1866	642
744	1872	640
745	1873	637
746	1874	634
747	1875	632
748	1877	629
749	1878	626
750	1879	623
751	1880	620
752	1883	617
753	1885	615
754	1886	612
755	1887	609
756	1889	606
757	1890	603
758	1891	600
759	1892	597
760	1893	594
761	1895	591
762	1902	590
763	1903	588
764	1904	585
765	1906	582
766	1907	579
767	1908	576
768	1909	573
769	1911	570
770	1916	569
771	1918	566
772	1919	563
773	1920	560
774	1921	557
775	1923	555
776	1924	552
777	1925	549
778	1928	547
779	1929	544
780	1931	541
781	1932	538
782	1933	535
783	1934	533
784	1947	533
785	1948	530
786	1951	528
787	1952	525
788	1955	522
789	1957	520
790	1962	518
791	1963	515
792	1965	513
793	1966	510
794	1968	507
795	1970	504
796	1971	502
797	1972	499
798	1977	497
799	1978	494
800	1980	491
801	1981	489
802	1982	486
803	1984	483
804	1985	480
805	1986	478
806	1987	475
807	1999	475
808	2002	472
809	2003	470
810	2014	469
811	2016	466
812	2017	464
813	2019	461
814	2025	459
815	2027	457
816	2028	454
817	2030	451
818	2031	448
819	2032	446
820	2034	443
821	2041	442
822	2043	439
823	2045	436
824	2046	434
825	2048	431
826	2049	428
827	2072	430
828	2073	427
829	2075	425
830	2077	422
831	2078	419
832	2079	416
833	2081	414
834	2082	411
835	2088	409
836	2089	407
837	2091	404
838	2092	401
839	2093	398
840	2095	396
841	2096	393
842	2102	391
843	2105	389
844	2107	386
845	2108	383
846	2109	381
847	2110	378
848	2111	375
849	2113	372
850	2123	371
851	2124	369
852	2125	366
853	2126	363
854	2128	360
855	2131	358
856	2135	356
857	2136	353
858	2138	350
859	2139	348
860	2140	345
861	2142	342
862	2143	340
863	2147	338
864	2151	335
865	2152	333
866	2153	330
867	2155	327
868	2156	325
869	2158	322
870	2172	321
871	2173	319
872	2175	316
873	2181	314
874	2183	311
875	2184	309
876	2185	306
877	2187	303
878	2188	301
879	2189	298
880	2190	295
881	2198	294
882	2199	291
883	2200	288
884	2201	286
885	2203	283
886	2204	280
887	2205	278
888	2230	278
889	2231	275
890	2232	273
891	2233	270
892	2234	267
893	2235	265
894	2237	262
895	2238	259
896	2245	257
897	2246	255
898	2247	252
899	2249	249
900	2250	247
901	2252	244
902	2253	242
903	2260	240
904	2261	237
905	2262	234
906	2263	232
907	2265	229
908	2266	226
909	2267	224
910	2268	221
911	2274	219
912	2275	216
913	2277	214
914	2278	211
915	2279	209
916	2280	206
917	2281	203
918	2282	201
919	2284	198
920	2287	196
921	2289	193
922	2291	191
923	2292	188
924	2293	185
925	2294	183
926	2295	180
927	2297	178
928	2310	176
929	2311	174
930	2312	171
931	2319	169
932	2321	166
933	2322	164
934	2323	161
935	2324	158
936	2326	156
937	2327	153
938	2328	151
939	2331	148
940	2333	146
941	2336	143
942	2338	141
943	2339	138
944	2340	136
945	2341	133
946	2342	131
947	2343	128
948	2355	126
949	2356	124
950	2357	121
951	2358	118
952	2359	116
953	2365	114
954	2366	111
955	2368	108
956	2369	106
957	2370	103
958	2371	101
959	2372	98
960	2373	96
961	2375	93
962	2388	91
963	2389	89
964	2390	86
965	2402	84
966	2403	82
967	2404	79
968	2405	76
969	2406	74
970	2409	71
971	2412	69
972	2413	66
973	2414	64
974	2417	61
975	2418	59
976	2419	56
977	2420	54
978	2421	51
979	2422	49
980	2426	46
981	2428	44
982	2429	42
983	2432	39
984	2433	37
985	2434	34
986	2435	32
987	2436	29
988	2440	27
989	2442	24
990	2443	22
991	2444	19
992	2445	17
993	2446	14
994	2448	12
995	2449	9
996	2450	7
997	2451	4
998	2454	2
999	2457	0
